id,username,password
1,marko,123456
2,jovana,Password123
3,nikola,qwerty
4,ana,P@ssw0rd!
5,petar,123456
6,ivan,IloveYou
7,sara,admin123
8,nevena,testpassword
9,njegos,Lo31nK@
10,mihajlo,Mihajlo123
11,petar,061293213
12,milan,lozinka123456
13,sava,Srbija2010
14,nikola,password00
15,dzon,Password
16,dejan,admin123
17,igor,FootballFan2023
18,tamara,BlueButterfly@89
19,dunja,ChocolateLover1!
20,zoran,P@ssword!123456
21,milos,WelcomeToMyWorld
22,ana,ForeverAlone99
23,jelena,SunnyDay123
24,andrej,KingOfTheNorth
25,marina,Zaštita123456!
26,marko,HappyBunny789
27,iva,OceanBreeze2020
28,pavle,MountainTop#55
29,sanja,GoldenSunrise
30,nikola,PasswordForLife!
31,stefan,RandomPassWordX
32,jovana,HelloWorld456
33,david,NeverGiveUp_78
34,nenad,CoffeeAddict@123
35,tamara,WinterIsComing
36,anastasija,SpringTime99!
37,milan,QwerAsdZxc@2023
38,sofia,LetMeInNow12345
39,luka,P@ssW0rdSafe
40,nina,ThisIsMyNewPass
41,bojan,NewYearNewMe2024
42,vanja,L0veMyPuppy!
43,marija,OldFashionedCup
44,vuk,SuperSecurePass88
45,ema,IWantToBeFree
46,boris,ThisIsMySafePlace
47,irena,TravelToParis2023
48,zeljko,SimplyTheBest199
49,katarina,JustDoIt#789
50,nikolina,ILoveCoding2024
51,teodora,12345
52,vladimir,iloveyou
53,dragana,qwertyuiop
54,aleksandar,Pa$$word2024!
55,kristina,Sunshine#123
56,tamara,Chocolate@Lover123
57,filip,TrustNoOne99
58,djordje,12345678
59,milica,PuppyLove2023!
60,dusan,Qwertz1234!
61,mirjana,AdminAccess!
62,tamara,RedVelvet2024
63,darko,FootballFanatic123
64,andjela,IceCreamLover1!
65,marko,BasketballKing23
66,lazar,PinkElephant!2023
67,jovana,OrangeJuice2024
68,nebojsa,Welcome2024!
69,sanja,SummerVacation2023
70,predrag,RockyMountains#88
71,radmila,FlowerPower2024!
72,tijana,WinterSnowman2023
73,ognjen,TopGunFan88
74,sandra,BabyBlueSky@
75,biljana,LuckyStars#2023
76,danilo,BeautifulOcean22
77,nemanja,GalaxyExplorer@
78,tamara,KeyboardWarrior1!
79,djordje,Password1234!
80,zorana,RaspberryCake@
81,aleksandar,SkatingOnIce23
82,ana,SunsetLover2023
83,nikola,GreatGatsby2024
84,bojana,SecretGarden99
85,miroslav,PasswordIsSafe!
86,vanja,ForeverFree@2023
87,zoran,NatureLover2024!
88,nikola,RockNRollFan123
89,irena,ChocolateRain2024
90,radovan,CoffeeBreak88@
91,milena,RandomAccess#77
92,milutin,SecureHouse#2024
93,jovana,PumpkinSpice12!
94,aleksandar,SkiingChampion@
95,dunja,BlackCoffee@123
96,zarko,HackerProof2024!
97,katarina,PasswordChange@
98,slobodan,FishingTrip88!
99,tanja,_925-QDxMqpOm4&

